 2020-02-20 11:24:33,186 [P6684/D5/T89] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2020-02-19 11:24:33
 2020-02-20 15:55:12,690 [P6684/D5/T45] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2020-02-19 15:55:01
 2020-02-20 16:13:44,470 [P1880/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on YANNIS
 2020-02-20 16:13:44,514 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2020-02-20 16:13:44,528 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 14ms)
 2020-02-20 16:13:44,844 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2020-02-20 16:13:45,875 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1030ms)
 2020-02-20 16:13:45,906 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2020-02-20 16:13:45,918 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 11ms)
 2020-02-20 16:13:45,919 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2020-02-20 16:13:45,929 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 10ms)
 2020-02-20 16:13:45,954 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2020-02-20 16:13:45,961 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 7ms)
 2020-02-20 16:13:45,963 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2020-02-20 16:13:45,976 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 13ms)
 2020-02-20 16:13:46,099 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2020-02-20 16:13:46,112 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 13ms)
 2020-02-20 16:13:46,117 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2020-02-20 16:13:46,136 [P1880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 18ms)
 2020-02-20 16:13:49,979 [P1880/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-02-20 16:13:50,824 [P1880/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-02-20 16:13:50,828 [P1880/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-02-20 16:13:51,058 [P1880/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2020-02-20 16:13:51,276 [P1880/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2020-02-20 16:13:51,276 [P1880/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2020-02-20 16:13:51,316 [P1880/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 6974ms)
 2020-02-20 16:13:52,022 [P1880/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:56988/umbraco (UmbracoModule request)
 2020-02-20 16:13:54,619 [P1880/D2/T6] INFO  umbraco.content - Load Xml from file...
 2020-02-20 16:13:54,686 [P1880/D2/T6] INFO  umbraco.content - Loaded Xml from file.
 2020-02-20 16:13:57,555 [P1880/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2020-02-20 16:13:57,587 [P1880/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 32ms)
 2020-02-20 16:14:54,943 [P1880/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2020-02-19 16:14:54
 2020-02-20 16:14:55,192 [P1880/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2020-02-20 16:14:55,203 [P1880/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 11ms)
